material_id,formula_pretty,nelements,nsites,crystal_system,density,formation_energy_per_atom,band_gap,energy_above_hull
mp-849689,FeO,2,24,Hexagonal,5.533046977636848,-1.3777199291666673,1.1609999999999996,0.1037994583333326
mp-849695,Li2FeO3,3,12,Monoclinic,3.817017269612856,-1.820166784444444,0.0,0.057792488333333836
mp-850218,Li35(FeO4)8,3,75,Triclinic,2.483034704509108,-1.9352236890222214,0.06539999999999999,0.04786506073333818
mp-850222,FeO2,2,6,Tetragonal,4.6121600939753025,-1.277397556666667,0.0,0.14517857083333308
mp-850511,LiFeO2,3,64,Orthorhombic,3.293027435055553,-1.8646108306770834,1.8933,0.08032591703124936
mp-863316,FeO3,2,8,Monoclinic,2.805231526461336,-0.526560505,0.3050999999999999,0.5403715906249991
mp-863766,Fe32O35,2,67,Triclinic,5.32206714331942,-1.4752070547014917,0.5078999999999998,0.056813519104478516
mp-887724,Li2FeO3,3,24,Monoclinic,3.8565100725253623,-1.8744459473611108,0.0,0.0035133254166668237
mp-976411,Li,1,4,Hexagonal,0.5659385329022951,0.0058890908333335545,0.0,0.0058890908333335545
mp-997515,Li(Fe2O3)4,3,42,Triclinic,4.700107459073699,-1.6601096094444445,0.8753999999999995,0.07080258392857264
mp-1001790,LiO3,2,4,Orthorhombic,2.1301362175281673,-0.6248585295833333,0.17820000000000003,0.23903239732142811
mp-1009490,O2,1,2,Monoclinic,1.4352516829252138,0.0017175900000001576,1.6095000000000002,0.0017175900000001576
mp-1018134,Li,1,3,Trigonal,0.5649380298643795,0.0,0.0,0.0
mp-1018789,LiO2,2,6,Orthorhombic,2.238045791580559,-1.042903046111111,0.0,0.08308098404761921
mp-1023923,O2,1,6,Trigonal,1.4970214783147298,0.9644220599999999,2.3448,0.96442206
mp-1047285,FeO2,2,24,Orthorhombic,4.181421065339904,-1.0318821595833338,0.0,0.39069396791666655
mp-1056059,O2,1,1,Tetragonal,2.760150614726444,1.5575547749999998,0.0,1.5575547749999998
mp-1056831,O2,1,1,Monoclinic,1.2271037619310026,1.3110982349999998,0.0,1.3110982349999998
mp-1057818,O2,1,2,Cubic,2.5969254446261805,1.8808411749999996,0.0,1.8808411749999996
mp-1058623,O2,1,2,Orthorhombic,2.635648920136587,1.5706568449999998,0.0,1.5706568449999998
mp-1062652,FeO2,2,3,Monoclinic,4.096892543833311,-1.165954956666667,0.0,0.25662117083333325
mp-1063005,Li,1,3,Hexagonal,0.5643236953606915,0.015670883333333368,0.0,0.015670883333333663
mp-1065697,O2,1,1,Tetragonal,3.1084112088063462,1.5793310049999998,0.0,1.5793310049999998
mp-1066100,O2,1,4,Hexagonal,2.601040354295142,0.12571025749999976,0.0,0.12571025749999976
mp-1068212,Fe2O3,2,5,Cubic,4.876586387429596,-0.847481741,0.0,0.8596096119999999
mp-1078361,Fe2O3,2,10,Orthorhombic,5.300911620008917,-1.4706406040000004,0.0,0.2364507489999994
mp-1087546,O2,1,8,Monoclinic,1.5032489357054872,0.017992666249999623,0.0,0.017992666249999623
mp-1094129,LiO2,2,3,Trigonal,2.2378047365027456,-0.5344960611111116,0.07400000000000001,0.5914879690476189
mp-1094135,LiO2,2,6,Monoclinic,2.351848255855821,-0.8091172677777786,0.0,0.31686676238095224
mp-1095382,Fe5O7,2,12,Monoclinic,5.336882346809207,-1.49997127625,0.0,0.1695247491666665
mp-1096950,Fe,1,1,Hexagonal,7.230888772981806,0.4766994200000001,0.0,0.4766994200000001
mp-1097003,FeO2,2,6,Orthorhombic,4.4182123384523875,-1.147006668333334,0.0,0.2755694591666664
mp-1097030,Li2O2,2,2,Tetragonal,2.5034683269547546,-1.381966649166666,0.0,0.2682035875000004
