trace_id,batch_start,initial_pce,final_pce,pce_min,pce_max,degradation_rate_pct_per_khr,early_slope_pct_per_khr,pce_noise_std,t80_hours,t80_censored,reaches_t80_in_window,n_points,batch_id,batch_size
127,2020-06-23 13:20:00,10.057,14.1428,3.1899,14.8067,-10.7508,36.6008,0.47249,,True,False,900,5,25
128,2020-06-23 13:20:00,10.8154,13.7057,10.1974,13.7329,-10.4153,-62.3021,0.33537,,True,False,900,5,25
129,2020-06-23 13:20:00,14.3115,13.8754,10.569,14.3486,3.1121,-1.2594,0.1239,,True,False,900,5,25
130,2020-06-23 13:20:00,13.1976,14.4471,10.9631,14.5871,-3.5941,-35.0117,0.2255,,True,False,900,5,25
131,2020-06-23 13:20:00,14.7835,14.4883,11.011,14.8644,2.2654,-1.1459,0.12367,,True,False,900,5,25
132,2020-06-23 13:20:00,15.2056,14.8714,11.3842,15.3777,2.762,-4.8152,0.13191,,True,False,900,5,25
133,2020-06-23 13:20:00,14.82,14.407,10.9745,14.8765,2.4147,0.9874,0.12293,,True,False,900,5,25
134,2020-06-23 13:20:00,14.3336,14.0374,10.6388,14.3867,1.5174,1.4098,0.11995,,True,False,900,5,25
135,2020-08-17 16:20:00,13.5425,13.7429,13.4422,14.8194,6.736,-19.1239,0.13773,,True,False,900,6,11
136,2020-08-17 16:20:00,12.8811,13.6246,12.7483,14.697,6.3556,-41.1557,0.18936,,True,False,900,6,11
137,2020-08-17 16:20:00,12.7271,13.9314,12.5731,14.6517,1.4239,-26.351,0.17781,,True,False,900,6,11
138,2020-08-17 16:20:00,14.0842,13.4049,13.382,14.4457,6.9789,-5.0067,0.08075,,True,False,900,6,11
139,2020-08-17 16:20:00,3.1204,11.5252,1.6294,12.1477,-5.2072,-130.8343,0.71425,,True,False,900,6,11
140,2020-08-17 16:20:00,14.6397,14.0071,13.9824,15.0513,7.1511,-5.7142,0.09374,,True,False,900,6,11
141,2020-08-17 16:20:00,15.5617,15.7033,15.3763,16.6248,1.2528,-37.6573,0.23823,,True,False,900,6,11
142,2020-08-17 16:20:00,13.5837,10.8639,10.6828,13.6258,17.9632,2.5001,0.12451,144.619,False,True,900,6,11
143,2020-08-17 16:20:00,12.6621,12.941,12.5732,14.2839,5.0561,-79.649,0.33672,,True,False,900,6,11
144,2020-08-17 16:20:00,17.7616,11.6241,11.5314,18.0208,24.5333,91.1634,0.35293,28.956,False,True,900,6,11
145,2020-08-17 16:20:00,6.8727,12.8262,6.5204,13.0256,-17.4944,-149.302,0.62034,,True,False,900,6,11
146,2022-01-28 18:10:00,11.4175,9.9742,8.6455,12.1626,-8.5347,12.9666,0.25656,,True,False,900,7,36
147,2022-01-28 18:10:00,11.6281,10.9897,9.2732,12.2796,-4.778,-62.3633,0.38138,,True,False,900,7,36
148,2022-01-28 18:10:00,12.6167,13.4893,10.6231,14.6651,5.1786,-3.8924,0.26768,,True,False,900,7,36
149,2022-01-28 18:10:00,11.8182,12.2188,9.248,12.6328,-13.9242,-64.4242,0.49485,,True,False,900,7,36
150,2022-01-28 18:10:00,9.6171,11.6357,9.0055,11.9356,-7.2158,-99.5277,0.45471,,True,False,900,7,36
151,2022-01-28 18:10:00,10.6123,15.8404,10.559,17.0684,-1.5871,-186.5433,0.70138,,True,False,900,7,36
152,2022-01-28 18:10:00,8.4863,8.8129,8.1256,9.2511,-3.8282,-6.0327,0.09928,,True,False,900,7,36
153,2022-01-28 18:10:00,8.1526,7.6851,6.9012,8.546,4.0511,-9.0034,0.31469,,True,False,900,7,36
154,2022-01-28 18:10:00,9.2348,8.2981,7.761,9.5218,-2.4355,34.2078,0.14805,,True,False,900,7,36
155,2022-01-28 18:10:00,8.1769,7.9855,7.1081,8.4771,-2.1067,-30.5268,0.20074,,True,False,900,7,36
156,2022-01-28 18:10:00,7.7392,8.8471,7.5118,9.6565,3.3521,-79.7042,0.34356,,True,False,900,7,36
157,2022-01-28 18:10:00,9.2561,9.6167,8.9916,10.2061,1.417,-43.4545,0.17301,,True,False,900,7,36
158,2022-01-28 18:10:00,11.3342,9.808,9.7565,11.9259,12.7905,-7.2314,0.13511,,True,False,900,7,36
159,2022-01-28 18:10:00,8.5423,9.0654,8.4754,9.6321,0.5594,-4.0292,0.18885,,True,False,900,7,36
160,2022-01-28 18:10:00,9.7248,9.7802,9.3224,10.4772,2.438,-38.3621,0.16079,,True,False,900,7,36
161,2022-01-28 18:10:00,11.3203,11.6425,10.92,13.0466,3.9336,-86.0005,0.33714,,True,False,900,7,36
162,2022-01-28 18:10:00,9.6154,9.3836,9.2113,10.454,5.0441,-45.0594,0.18535,,True,False,900,7,36
163,2022-01-28 18:10:00,7.8185,8.8545,7.7376,9.5673,1.0398,-10.331,0.20023,,True,False,900,7,36
164,2022-01-28 18:10:00,9.7317,8.7906,8.2977,9.9747,-1.074,50.2306,0.23376,,True,False,900,7,36
165,2022-01-28 18:10:00,9.1966,9.082,8.4365,9.7797,0.758,0.0594,0.27437,,True,False,900,7,36
166,2022-01-28 18:10:00,12.2615,11.9397,11.8602,14.2694,12.7733,-58.1374,0.28195,,True,False,900,7,36
167,2022-01-28 18:10:00,9.665,11.8026,9.4804,12.2624,-2.2972,-82.2258,0.29796,,True,False,900,7,36
168,2022-01-28 18:10:00,11.2099,10.6073,10.5672,13.1423,17.4958,-18.5976,0.20658,,True,False,900,7,36
169,2022-01-28 18:10:00,13.3507,11.3595,10.2221,14.6933,20.2557,30.3333,0.18326,,True,False,900,7,36
170,2022-01-28 18:10:00,11.2908,10.0989,10.0533,13.1292,19.1409,-6.3388,0.22652,,True,False,900,7,36
171,2022-01-28 18:10:00,12.0563,11.4384,11.4055,14.5585,21.1156,-35.4532,0.26085,,True,False,900,7,36
172,2022-01-28 18:10:00,10.2013,10.3459,9.651,11.6399,5.7641,-8.2018,0.21906,,True,False,900,7,36
