symbol,atomic_number,atomic_radius,atomic_volume,block,density,dipole_polarizability,electron_affinity,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,name,period,series_id,specific_heat_capacity,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,proton_affinity,gas_basicity,heat_of_formation,c6,abundance_crust,abundance_sea,atomic_weight,is_monoisotopic,is_radioactive,atomic_radius_rahm,geochemical_class,goldschmidt_class,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,discovery_year,mendeleev_number,pettifor_number,glawe_number,molar_heat_capacity
Hf,72,155,13.6,d,13.3,103,0.014,575,25.1,4,3.2,HEX,Hafnium,6,8,0.144,23,223,175,152,1.3,,,618.4,,3,7.00E-06,178.49,,0,264,high field strength,litophile,144,159,128,122,1923,45,50,50,25.73
Ta,73,145,10.9,d,16.4,74,0.322,758,24.7,5,3.31,BCC,Tantalum,6,8,0.14,57.5,222,170,146,1.5,,,782,,2,2.00E-06,180.94788,,0,258,high field strength,litophile,134,146,126,119,1802,49,53,52,25.36
W,74,135,9.53,d,19.3,68,0.81626,824,35,6,3.16,BCC,Tungsten,6,8,0.132,173,218,162,137,1.7,,,851,,1.25,0.0001,183.84,,0,253,,litophile,130,139,120,115,1783,53,56,57,24.27
Re,75,135,8.85,d,20.8,62,0.15,704,34,7,2.76,HEX,Rhenium,6,8,0.137,48,216,151,131,1.9,,,774,,0.0007,4.00E-06,186.207,,0,249,,siderophile,128,137,119,110,1925,57,59,58,25.48
Os,76,130,8.43,d,22.5872,57,1.1,738,31.7,8,2.74,HEX,Osmium,6,8,0.13,,216,144,129,2.2,,,787,,0.0015,,190.23,,0,244,noble metal,siderophile,126,135,116,109,1804,61,62,60,24.7
Ir,77,135,8.54,d,22.5622,54,1.5638,604,27.61,9,3.84,FCC,Iridium,6,8,0.131,147,213,141,122,2.2,,,669,,0.001,,192.217,,0,240,noble metal,siderophile,127,136,115,107,1804,65,65,62,25.1
Pt,78,135,9.1,d,21.5,48,2.128,470,21.76,10,3.92,FCC,Platinum,6,8,0.133,71.6,213,136,123,2.2,,,565.7,,0.005,,195.084,,0,230,noble metal,siderophile,130,139,112,110,1735,69,68,64,25.86
Au,79,135,10.2,d,19.3,36,2.30863,340,12.68,11,4.08,FCC,Gold,6,8,0.129,318,214,136,124,2.4,,,368.2,,0.004,4.00E-06,196.966569,1,0,226,noble metal,siderophile,134,144,121,123,,73,70,66,25.418
Hg,80,150,14.8,d,13.5336,33.91,,58.5,2.295,12,2.99,RHL,Mercury,6,8,0.14,8.3,223,132,133,1.9,,,61.38,,0.085,3.00E-05,200.592,,0,229,,chalcophile,139,151,142,,,79,74,76,27.983
Tl,81,190,17.2,p,11.8,50,0.377,162.4,4.31,13,3.46,HEX,Thallium,6,7,0.129,46.1,196,145,144,1.8,,,182.2,,0.85,1.90E-05,204.38,,0,242,,chalcophile,144,160,142,150,1861,85,78,81,26.32
Pb,82,180,18.3,p,11.3,47,0.35674316,177.8,4.77,14,4.95,FCC,Lead,6,7,0.13,35.3,202,146,144,1.8,,,195.2,,14,3.00E-05,207.2,,0,249,,chalcophile,150,170,135,137,,91,82,82,26.84
Bi,83,160,21.3,p,9.79,48,0.942362,172,11,15,4.75,RHL,Bismuth,6,7,0.122,7.9,207,148,151,1.9,,,209.6,,0.0085,2.00E-05,208.9804,1,0,250,,chalcophile,151,178,141,135,,97,87,92,25.52
Po,84,190,22.7,p,9.2,44,1.9,102.9,10,16,3.35,SC,Polonium,6,5,,,197,140,145,2,,,,,2.00E-10,1.50E-14,209,,1,250,U/Th decay series,synthetic,,,135,129,1898,103,91,93,
At,85,,,p,7,42,2.8,,,17,,,Astatine,6,6,,,202,150,147,2.2,,,,,,,210,,1,247,U/Th decay series,synthetic,,,138,138,1940,110,96,98,
Rn,86,,,p,0.009074,35,,18.1,,18,,FCC,Radon,6,2,0.094,0.0036,220,150,142,,,,,,4.00E-13,6.00E-16,222,,1,243,U/Th decay series,synthetic,,,145,133,1898,117,6,6,20.786
